uid,unique_id,boot_num,term,estimate,std.error,statistic,p.value
5_1_0616,5_1,0616,r,0.11457982278680871,0.009657884360867845,11.863863606719839,9.169700150419866e-12
5_1_0617,5_1,0617,K,20236.5269108566,1131.6246334956788,17.88272039319642,9.300667524759592e-16
5_1_0617,5_1,0617,r,0.13420603176932197,0.008300028242276618,16.16934639881545,9.508563940206022e-15
5_1_0618,5_1,0618,K,20312.883156825977,941.8503786561992,21.566995795879727,1.1335384066986704e-17
5_1_0618,5_1,0618,r,0.13465683517236568,0.007407989886869994,18.177243385689955,6.358481367050352e-16
5_1_0619,5_1,0619,K,21639.9048131642,1278.430657249724,16.926928879911195,3.3194059752026536e-15
5_1_0619,5_1,0619,r,0.11875704856556568,0.007970949486549703,14.898733051308136,6.111624213135693e-14
5_1_0620,5_1,0620,K,21226.80322369981,1633.8974762916457,12.991514787009129,1.2857973827680478e-12
5_1_0620,5_1,0620,r,0.13009811912180808,0.008262738468817876,15.745157566438237,1.7453793897415782e-14
5_1_0621,5_1,0621,K,21761.54770458883,1572.5546221847621,13.838341382606695,3.1932276811564065e-13
5_1_0621,5_1,0621,r,0.11842496605805979,0.00885573820187184,13.372681459014705,6.811702151757671e-13
5_1_0622,5_1,0622,K,20842.378717406056,1594.0932308064796,13.0747551740506,1.1178886056081404e-12
5_1_0622,5_1,0622,r,0.13153533158657854,0.009519063768160942,13.818095433558675,3.2987978725531123e-13
5_1_0623,5_1,0623,K,20409.663989155986,1807.5004386552034,11.291650918956877,2.6165721849391727e-11
5_1_0623,5_1,0623,r,0.12000621800964385,0.010223483518910503,11.738290357456622,1.1506611490133714e-11
5_1_0624,5_1,0624,K,20809.706812989523,877.7947171117701,23.706803432880324,1.184470107314711e-18
5_1_0624,5_1,0624,r,0.13466593559852003,0.0062411912529889224,21.5769602532254,1.1211592396729858e-17
5_1_0625,5_1,0625,K,20869.823996082137,1250.0512192216895,16.6951751057658,4.560606525027254e-15
5_1_0625,5_1,0625,r,0.12439964191621042,0.008164650505156273,15.236370722500311,3.682161486730749e-14
5_1_0626,5_1,0626,K,20586.596391433035,1238.2749002132418,16.625223032371764,5.023217026728117e-15
5_1_0626,5_1,0626,r,0.1260234439954918,0.008054045000996128,15.647223721733015,2.0119701020175494e-14
5_1_0627,5_1,0627,K,20835.957844160563,2101.329117733114,9.915608967831806,3.8034816303493224e-10
5_1_0627,5_1,0627,r,0.12101749590190233,0.010198510281067425,11.86619345048462,9.13130599040314e-12
5_1_0628,5_1,0628,K,18757.392404662358,791.61482366184,23.695099995594692,1.1985755795405527e-18
5_1_0628,5_1,0628,r,0.14221271873824773,0.008034372749520959,17.700537823158257,1.1799233835987872e-15
5_1_0629,5_1,0629,K,22343.600383784695,1770.533477373139,12.619699468735767,2.422448265668472e-12
5_1_0629,5_1,0629,r,0.11524272034315049,0.0076460127626510116,15.072263664806353,4.705007140993709e-14
5_1_0630,5_1,0630,K,22277.18973412776,2067.5238428908624,10.774816363413372,6.964100234298308e-11
5_1_0630,5_1,0630,r,0.11219475476215016,0.009047148325578722,12.40111808987871,3.538224801150556e-12
5_1_0631,5_1,0631,K,20487.046357897238,1042.272705961431,19.656128612711992,1.0177417137461522e-16
5_1_0631,5_1,0631,r,0.13544540596277815,0.00734426402250093,18.442338884850596,4.535883044940823e-16
5_1_0632,5_1,0632,K,19208.264436883986,1271.8890060426536,15.10215462640757,4.498834336483469e-14
5_1_0632,5_1,0632,r,0.12825452995897105,0.009293260812003767,13.8008103456334,3.391786038759435e-13
5_1_0633,5_1,0633,K,21598.25780565027,1701.4299688722256,12.694179719877887,2.1314360245447495e-12
5_1_0633,5_1,0633,r,0.11565839872224143,0.008898525945902387,12.997478394216524,1.2729423912105688e-12
5_1_0634,5_1,0634,K,20652.758522536653,1291.8048903598904,15.987521549622635,1.231598509154833e-14
5_1_0634,5_1,0634,r,0.12824867634420084,0.008275926901955869,15.496593658154659,2.5072196676064256e-14
5_1_0635,5_1,0635,K,19923.779203084305,1099.6919286918046,18.117600650925635,6.864548612190245e-16
5_1_0635,5_1,0635,r,0.12733699463690654,0.008160106565618119,15.604820061226848,2.1401731079403652e-14
5_1_0636,5_1,0636,K,19980.379981540074,1073.038099074959,18.620382630183112,3.6238047802642473e-16
5_1_0636,5_1,0636,r,0.13402013203772176,0.00803718915853783,16.675000350757383,4.689308668238263e-15
5_1_0637,5_1,0637,K,20447.157959254597,954.3562827613819,21.425078169016476,1.3260924534884224e-17
5_1_0637,5_1,0637,r,0.13380108639729463,0.006914313462720891,19.35131913221675,1.4697504815703961e-16
5_1_0638,5_1,0638,K,20058.66315637122,1202.164459413999,16.685456801932837,4.622139764712784e-15
5_1_0638,5_1,0638,r,0.13325826999386872,0.008357770251845911,15.944237036718864,1.310303590310301e-14
5_1_0639,5_1,0639,K,20443.778674297424,1051.8026017218556,19.436896848163233,1.3249836482378924e-16
5_1_0639,5_1,0639,r,0.1364197404955382,0.008131038005446014,16.77765377608208,4.071356983841467e-15
5_1_0640,5_1,0640,K,20868.31807211385,1390.2510675043216,15.010467216957544,5.162875620067887e-14
5_1_0640,5_1,0640,r,0.12864679223543257,0.007790278767127836,16.513759787169054,5.8633864716199604e-15
5_1_0641,5_1,0641,K,20745.485430834022,1747.8501708348808,11.869144035912816,9.08292071388557e-12
5_1_0641,5_1,0641,r,0.12491758262624558,0.00951497887338918,13.12851917891339,1.0216459565953448e-12
5_1_0642,5_1,0642,K,19563.57313461195,1862.3402676088765,10.504832803583366,1.1758599264849744e-10
5_1_0642,5_1,0642,r,0.1346947097102449,0.011704543910017101,11.507899047221233,1.753014883268021e-11
5_1_0643,5_1,0643,K,20416.97417494096,1641.4150176969865,12.438642241489491,3.314281715767248e-12
5_1_0643,5_1,0643,r,0.13387547308784412,0.009024723794239272,14.834301430177897,6.739171962826119e-14
5_1_0644,5_1,0644,K,19430.41128489489,1408.5013816663877,13.795095651171398,3.423122599006944e-13
5_1_0644,5_1,0644,r,0.1263321482482176,0.008263505967153391,15.287959947070314,3.410586142017404e-14
5_1_0645,5_1,0645,K,20206.336472707502,1100.1414616095358,18.367034765824663,4.990508428439275e-16
