unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,days
8_2,8,2,17057,825.47,418.9227778,17.455115741666667
25_2,25,2,6057,825.82,247.6561111,10.319004629166667
32_1,32,1,3732,826.65,313.8161111,13.075671295833333
16_4,16,4,9307,830.3,176.3844444,7.349351850000001
25_1,25,1,14650,830.6,512.4333333,21.351388887499997
25_1,25,1,7585,830.77,82.78416667,3.449340277916667
8_3,8,3,13607,832.57,418.9633333,17.456805554166667
16_5,16,5,22084,832.81,587.2513889,24.468807870833334
25_5,25,5,6416,832.86,82.60083333,3.44170138875
32_2,32,2,9235,833.29,849.1408333,35.38086805416667
25_1,25,1,5116,836.82,299.6480556,12.485335650000001
32_2,32,2,2213,840.91,679.82,28.325833333333335
16_5,16,5,16426,844.25,1013.301667,42.22090279166667
8_5,8,5,14553,845.66,419.0508333,17.4604513875
16_1,16,1,20954,846.06,587.1458333,24.464409720833334
16_4,16,4,18867,847.72,1013.335,42.22229166666667
8_2,8,2,21296,849.4,653.2608333,27.219201387499997
8_1,8,1,19517,853.19,653.2172222,27.217384258333336
8_4,8,4,13419,856.87,419.0030556,17.45846065
25_4,25,4,8680,857.92,299.7297222,12.488738425000001
5_5,5,5,18733,858.45,948.9277778,39.53865740833333
8_2,8,2,19086,858.71,486.3930556,20.266377316666667
16_4,16,4,19559,859.73,587.2236111,24.4676504625
16_2,16,2,21355,860.08,587.1730556,24.465543983333333
38_2,38,2,4622,860.8,588.1491667,24.506215279166668
25_3,25,3,6898,861,299.7036111,12.4876504625
16_3,16,3,9700,861.94,176.3591667,7.3482986125
8_3,8,3,10232,862.46,298.9602778,12.456678241666665
25_5,25,5,12855,864.01,587.4238889,24.47599537083333
8_4,8,4,17734,876.57,653.3452778,27.222719908333332
8_3,8,3,18053,878.17,653.3052778,27.221053241666667
16_5,16,5,18408,885.48,299.1786111,12.4657754625
8_1,8,1,13842,889.52,418.88,17.453333333333333
16_3,16,3,23962,889.87,299.1186111,12.4632754625
5_1,5,1,9490,897.51,485.4788889,20.2282870375
16_4,16,4,22099,899.54,299.1455556,12.464398150000001
16_3,16,3,22711,901.09,587.1977778,24.466574075
32_1,32,1,5270,903.83,513.1063889,21.37943287083333
8_5,8,5,17314,904.25,653.3875,27.22447916666667
8_5,8,5,9728,909.55,298.8963889,12.454016204166665
5_3,5,3,21265,910.37,948.88,39.53666666666667
8_2,8,2,15915,910.5,298.9880556,12.45783565
25_3,25,3,16253,911.17,828.2969444,34.51237268333333
8_4,8,4,16310,911.99,486.4880556,20.27033565
8_2,8,2,9477,912.1,246.4588889,10.269120370833333
32_5,32,5,5862,915.72,513.2119444,21.383831016666665
8_5,8,5,15793,916.63,486.5244444,20.27185185
38_4,38,4,3942,917.67,249.1566667,10.381527779166666
8_5,8,5,19586,917.8,246.3116667,10.2629861125
16_2,16,2,19384,918.97,828.7386111,34.530775462499996
5_1,5,1,20999,919.49,948.855,39.535625
32_1,32,1,6628,920.24,849.1041667,35.37934027916666
16_1,16,1,19960,922.22,299.0658333,12.4610763875
25_3,25,3,10754,929.03,587.3672222,24.473634258333334
25_4,25,4,5234,929.51,247.5591667,10.314965279166666
25_5,25,5,6761,932.39,247.5175,10.313229166666668
8_1,8,1,17666,932.73,486.3441667,20.264340279166667
38_5,38,5,4258,934.63,628.7422222,26.197592591666666
8_1,8,1,8751,935.57,299.0141667,12.4589236125
8_2,8,2,29474,937.31,586.7077778,24.446157408333335
16_3,16,3,21916,939.02,828.7630556,34.53179398333334
5_3,5,3,16105,939.22,652.8019444,27.20008101666667
25_4,25,4,14716,942.05,587.3988889,24.474953704166666
5_2,5,2,24550,942.64,948.8197222,39.53415509166667
5_3,5,3,8379,943.56,485.7147222,20.238113424999998
5_1,5,1,16930,948.35,652.7233333,27.19680555416667
32_1,32,1,2200,948.61,13.17055556,0.5487731483333333
5_2,5,2,15969,954.55,652.7627778,27.198449075
8_5,8,5,19030,954.98,828.5502778,34.52292824166667
5_5,5,5,17458,963.72,652.8805556,27.203356483333334
32_4,32,4,7644,968.81,849.1886111,35.382858795833336
5_5,5,5,21593,969.68,828.5161111,34.521504629166664
5_4,5,4,28226,972.98,948.9025,39.53760416666667
25_5,25,5,14945,975.06,828.3497222,34.51457175833333
16_2,16,2,20410,975.71,299.0913889,12.462141204166668
25_3,25,3,13683,976.19,677.6836111,28.236817129166667
5_5,5,5,7497,976.79,485.8247222,20.242696758333334
8_3,8,3,20590,980.4,828.6155556,34.52564815
32_3,32,3,7122,986.41,849.1658333,35.381909720833335
32_3,32,3,7841,987.92,314.3688889,13.098703704166667
5_2,5,2,8534,988.8,485.6544444,20.23560185
8_3,8,3,28217,989.27,1013.0075,42.208645833333335
8_4,8,4,7632,989.78,298.9341667,12.455590279166666
16_5,16,5,22042,990.92,828.8091667,34.533715279166664
8_1,8,1,23606,992.53,1012.858611,42.202442125
25_2,25,2,9999,994.34,587.3288889,24.4720370375
8_2,8,2,24045,999.09,828.6469444,34.52695601666667
8_1,8,1,4473,1002.26,175.9497222,7.331238425
5_1,5,1,3438,1002.56,298.0175,12.417395833333332
25_1,25,1,4738,1003.61,247.8475,10.326979166666666
25_3,25,3,6206,1004.55,247.6016667,10.316736112500001
5_3,5,3,13985,1005.01,586.5811111,24.44087962916667
25_1,25,1,14854,1005.15,587.2947222,24.470613425
32_5,32,5,3423,1005.43,313.9922222,13.083009258333334
8_4,8,4,24006,1007.75,1012.980278,42.207511583333336
5_2,5,2,18929,1011.55,586.6061111,24.441921295833335
5_2,5,2,10721,1012.21,417.1394444,17.380810183333335
8_5,8,5,22399,1020.75,1013.055278,42.21063658333333
8_4,8,4,19707,1022.66,828.5747222,34.52394675833333
16_4,16,4,23251,1026.17,828.8338889,34.534745370833335
25_4,25,4,16507,1026.68,828.3211111,34.51337962916667
8_4,8,4,6367,1028.24,246.3719444,10.265497683333333
5_4,5,4,21341,1033.19,586.5275,24.438645833333336
8_2,8,2,5265,1039.55,175.9877778,7.332824075
8_3,8,3,6164,1041.05,246.4180556,10.267418983333334
5_3,5,3,9474,1042.31,417.1780556,17.382418983333334
8_5,8,5,3396,1044.62,176.0883333,7.3370138874999995
8_3,8,3,3249,1044.98,176.025,7.3343750000000005
5_4,5,4,20026,1047.3,652.8422222,27.201759258333336
25_2,25,2,16950,1047.75,828.2725,34.51135416666667
8_1,8,1,20988,1055.54,828.6891667,34.52871527916667
8_4,8,4,23767,1056.57,586.7702778,24.448761575000002
8_5,8,5,21717,1058.44,586.8077778,24.450324075
5_2,5,2,18410,1063.7,828.4788889,34.51995370416667
8_2,8,2,24721,1064.88,1012.904167,42.20434029166667
5_4,5,4,9816,1070.61,485.7722222,20.240509258333333
5_1,5,1,18788,1071.33,586.6327778,24.443032408333334
5_3,5,3,24006,1071.4,1012.758611,42.198275458333335
5_4,5,4,8617,1073.19,417.2222222,17.384259258333334
8_3,8,3,19541,1073.65,586.7319444,24.447164349999998
5_1,5,1,9918,1074.24,417.0725,17.378020833333334
8_1,8,1,6332,1076.17,246.4913889,10.2704745375
5_1,5,1,22952,1076.8,1012.711389,42.196307875
38_5,38,5,3078,1080.33,249.1975,10.383229166666666
8_2,8,2,2496,1080.43,81.65916667,3.402465277916667
5_1,5,1,16375,1093.44,828.3736111,34.51556712916666
5_5,5,5,8792,1094.5,417.2647222,17.386030091666665
5_3,5,3,18293,1099.04,828.4275,34.5178125
5_5,5,5,8599,1100.93,299.6058333,12.4835763875
5_5,5,5,17816,1103.41,586.5013889,24.437557870833334
5_4,5,4,19970,1129.56,828.4516667,34.51881944583334
5_5,5,5,23347,1133.04,1012.821111,42.200879625
16_3,16,3,17758,1144.52,1013.230278,42.21792825
8_1,8,1,21200,1145.33,586.6816667,24.445069445833337
5_2,5,2,24140,1150.01,1012.732778,42.19719908333334
32_4,32,4,4731,1162.01,313.9008333,13.0792013875
32_3,32,3,5483,1168.84,513.1641667,21.381840279166667
5_2,5,2,3858,1181.08,298.1583333,12.4232638875
5_4,5,4,23296,1199.21,1012.797222,42.199884250000004
32_5,32,5,7869,1213.4,587.8766667,24.4948611125
32_4,32,4,4154,1225.85,513.1875,21.3828125
5_4,5,4,4480,1268.74,298.2169444,12.425706016666666
32_2,32,2,6556,1298.99,587.97,24.49875
32_3,32,3,7122,1335.61,587.9422222,24.497592591666663
32_1,32,1,5462,1351.72,588.0083333,24.500347220833333
32_4,32,4,6378,1463.06,587.9155556,24.49648148333333
5_5,5,5,6113,1497.61,245.7363889,10.239016204166667
32_1,32,1,2851,1604.62,247.9730556,10.33221065
32_3,32,3,3019,1647.43,248.0636111,10.335983795833334
5_3,5,3,6751,1664.58,298.2463889,12.426932870833333
5_4,5,4,2401,1917.13,245.7063889,10.237766204166666
