temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
5,TT,2,6,54.52,54.52,0.53,116.21,111.71,117.5,0.5526,1,1,393,321,0,0,0,0,0,0,0,0.57,0.62,0.8,1.61,37.78,0.98,2016-12-01,8.33,10.32,163.37,2.67,-65,35,0.09,0.92,0,0.37,15.67,5.87,05TT2_size_images_000001.tif,38,29,166,2,113.94,14.39,1,43.07,1.04,1.01,1.05,1.12,0,0,0,34.53,633,34295,0.76,19:15:27,2016-12-02T02:15:27Z,0.19,302.7928,575.7254,6.76
5,TT,2,7,85.17,85.17,0.77,103.91,105.88,113.8,0.5526,1,1,622,844,0,0,0,0,0,0,0,0.8,0.82,0.96,1.21,40.81,1,2016-12-01,10.41,11.29,162,1,35,-35,0,1.15,0,1,11.16,11.16,05TT2_size_images_000001.tif,36,34,197,2,107.79,12.78,1,44.63,0.98,1.1,1.07,1.08,0,0,0,24.73,468,46136,0.75,19:15:13,2016-12-02T02:15:13Z,0.08,591.2304,752.8546,9.29
5,TT,2,8,72.2,72.2,0.91,112.08,104.01,107.22,0.5526,1,1,562,666,0,0,0,0,0,0,0,0.85,0.62,0.98,1.61,39.95,0.95,2016-12-01,9.59,11.01,156.5,2.69,-80,-20,0.51,0.66,0,0.37,17.54,6.53,05TT2_size_images_000001.tif,35,35,233,2,105.6,11.61,1,48.14,1.08,0.96,1.03,1.19,0,0,0,37.18,570,39600,0.82,19:15:21,2016-12-02T02:15:21Z,0.13,461.5327,699.097,10.29
5,TT,2,9,112.65,119.75,0.79,100.99,99.09,105.48,0.5526,1,1,5,799,0,0,0,0,0,0,0,0.75,0.72,0.95,1.38,48.09,0.97,2016-12-01,11.98,13.6,152.76,1.79,35,-55,0.22,0.82,0,0.56,17.6,9.82,05TT2_size_images_000001.tif,39,39,270,2,101.02,14.45,1,54.84,1.02,1.04,1.06,1.4,0,0,0,32.5,378,54349,0.66,19:15:05,2016-12-02T02:15:05Z,0.12,899.4186,1318,11.47
5,TT,2,10,93.83,96.07,0.68,112.24,102.42,96.21,0.5526,1,1,164,304,0,0,0,0,0,0,0,0.73,0.81,0.92,1.24,43.74,1,2016-12-01,10.93,12.22,150.18,1,-60,45,0,1.28,0,1,11.86,11.86,05TT2_size_images_000001.tif,39,35,311,2,101.67,15.13,1,47.43,1.1,0.86,0.94,1.19,0,0,0,29.57,426,47072,0.82,19:15:09,2016-12-02T02:15:09Z,0.11,683.752,955.2203,8.62
5,TT,2,11,65.69,65.69,0.46,96.01,93.9,101.01,0.5526,1,1,208,717,0,0,0,0,0,0,0,0.53,0.7,0.75,1.44,40.2,1,2016-12-01,9.15,11.09,149.59,2.02,55,-45,0,1.01,0,0.5,14.64,7.26,05TT2_size_images_000001.tif,36,34,348,2,95.45,14.77,1,43.79,1.02,1.05,1.08,1.08,0,0,0,30.68,394,33218,0.75,19:15:07,2016-12-02T02:15:07Z,0.18,400.4949,714.3735,6.27
5,TT,2,12,57.11,57.11,0.64,103.51,101.52,108.62,0.5526,1,1,575,71,0,0,0,0,0,0,0,0.66,0.49,0.87,2.03,38.17,0.9,2016-12-01,8.53,10.45,148.72,4.12,15,-85,0.53,0.65,0,0.24,19.81,4.81,05TT2_size_images_000001.tif,30,37,384,2,103.84,12.95,1,49.24,1.02,1.05,1.07,1.27,0,0,0,43.36,405,32397,0.72,19:15:08,2016-12-02T02:15:08Z,0.18,324.658,597.0389,8.38
5,TT,2,13,126.63,126.63,0.73,117.95,113.02,109.35,0.5526,1,1,862,426,0,0,0,0,0,0,0,0.73,0.63,0.93,1.59,50.23,0.94,2016-12-01,12.7,14.28,147.88,2.62,-45,15,0.36,0.74,0,0.38,21.77,8.32,05TT2_size_images_000001.tif,39,39,423,2,111.67,16.04,1,60.18,1.04,0.93,0.97,1.18,0,0,0,37,371,66223,0.68,19:15:05,2016-12-02T02:15:05Z,0.11,1071.91,1525.143,12.74
5,TT,2,14,96.57,96.57,0.83,110.3,103.09,108.4,0.5526,1,1,627,661,0,0,0,0,0,0,0,0.8,0.78,0.96,1.29,44.2,1,2016-12-01,11.09,12.36,143.86,1.24,75,-25,0,1.06,0,0.81,13.4,10.8,05TT2_size_images_000001.tif,39,34,464,2,105.3,14.16,1,48.4,1.07,0.98,1.05,1.08,0,0,0,32.91,569,49912,0.78,19:15:21,2016-12-02T02:15:21Z,0.1,713.9201,989.5924,10.15
5,TT,2,15,113.92,113.92,0.56,101.96,102.41,107.28,0.5526,1,1,1073,567,0,0,0,0,0,0,0,0.58,0.67,0.83,1.5,49.36,0.95,2016-12-01,12.04,14.01,141.18,2.28,5,85,0.15,0.87,0,0.44,19.45,8.53,05TT2_size_images_000001.tif,34,45,500,2,103.83,16.98,1,55.95,1,1.05,1.05,1.12,0,0,0,43.77,496,56381,0.61,19:15:15,2016-12-02T02:15:15Z,0.14,914.6101,1438.545,10.66
5,TT,2,16,68.09,68.09,0.48,114.71,114.44,122.55,0.5526,1,1,1048,322,0,0,0,0,0,0,0,0.51,0.59,0.75,1.7,41.27,0.96,2016-12-01,9.31,11.43,141.06,2.99,60,-20,0.16,0.86,0,0.33,18.09,6.04,05TT2_size_images_000001.tif,39,31,547,2,116.37,15.61,1,48.27,1,1.07,1.07,1.15,0,0,0,41.4,455,41659,0.7,19:15:12,2016-12-02T02:15:12Z,0.19,422.6939,782.6306,7.18
5,TT,2,17,80.49,80.49,0.56,122.27,112.85,114.76,0.5526,1,1,424,164,0,0,0,0,0,0,0,0.58,0.64,0.83,1.56,42.75,0.96,2016-12-01,10.12,11.9,139.73,2.51,65,-35,0.15,0.87,0,0.4,17.7,7.06,05TT2_size_images_000001.tif,40,32,580,2,114.02,15.36,1,49.51,1.08,0.94,1.02,1.14,0,0,0,44.91,259,46635,0.51,19:14:56,2016-12-02T02:14:56Z,0.15,543.2649,883.0033,8.48
5,TT,2,18,139.7,139.7,0.79,106.65,100.74,102.38,0.5526,1,1,1095,195,0,0,0,0,0,0,0,0.76,0.64,0.94,1.56,52.66,0.95,2016-12-01,13.34,15.06,137.34,2.5,55,-15,0.33,0.75,0,0.4,22.16,8.87,05TT2_size_images_000001.tif,42,40,614,2,101.41,16.63,1,62.07,1.06,0.96,1.02,1.17,0,0,0,34.51,346,65309,0.74,19:15:03,2016-12-02T02:15:03Z,0.11,1242.156,1786.727,13.55
5,TT,2,19,57.11,57.11,0.64,104.62,101.21,107.83,0.5526,1,1,1142,15,0,0,0,0,0,0,0,0.69,0.76,0.89,1.31,35.44,1,2016-12-01,8.53,9.58,135.05,1.41,60,-30,0,1.03,0,0.71,11.59,8.22,05TT2_size_images_000001.tif,34,30,656,2,103.27,11.91,1,39.62,1.03,1.03,1.07,1.1,0,0,0,51.93,600,32220,0.7,19:15:24,2016-12-02T02:15:24Z,0.11,324.658,459.8534,7.05
