unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,start_time,days
5_5,5,5,14901,1146.72,587.5013888888889,2016-11-21  17:15:49,24.479224537037037
8_1,8,1,20025,1199.75,587.6816666666666,2016-11-21  17:26:38,24.48673611111111
8_2,8,2,26593,1012.52,587.7077777777778,2016-11-21  17:28:12,24.487824074074073
8_3,8,3,17893,1136.38,587.7319444444445,2016-11-21  17:29:39,24.48883101851852
8_4,8,4,20948,1126.98,587.7702777777778,2016-11-21  17:31:57,24.49042824074074
8_5,8,5,19602,1137.68,587.8077777777778,2016-11-21  17:34:12,24.491990740740743
16_1,16,1,16433,979.29,588.1458333333334,2016-11-21  17:54:29,24.50607638888889
16_2,16,2,17670,1032.8,588.1730555555556,2016-11-21  17:56:07,24.50721064814815
16_3,16,3,18878,976.92,588.1977777777778,2016-11-21  17:57:36,24.508240740740742
16_4,16,4,16331,1243.13,588.2236111111112,2016-11-21  17:59:09,24.509317129629633
16_5,16,5,17752,972.86,588.2513888888889,2016-11-21  18:00:49,24.510474537037037
25_1,25,1,11517,1124.15,588.2947222222223,2016-11-21  18:03:25,24.512280092592594
25_2,25,2,8254,1152.55,588.3288888888889,2016-11-21  18:05:28,24.5137037037037
25_3,25,3,7782,1172.91,588.3672222222223,2016-11-21  18:07:46,24.515300925925928
25_4,25,4,11320,1141.66,588.3988888888889,2016-11-21  18:09:40,24.516620370370372
25_5,25,5,9982,1100.3,588.4238888888889,2016-11-21  18:11:10,24.517662037037038
32_1,32,1,4944,1404.73,589.0083333333333,2016-11-21  18:46:14,24.54201388888889
32_2,32,2,5471,1520.15,588.97,2016-11-21  18:43:56,24.54041666666667
32_3,32,3,6650,1418.74,588.9422222222222,2016-11-21  18:42:16,24.539259259259257
32_4,32,4,4725,1899.59,588.9155555555556,2016-11-21  18:40:40,24.53814814814815
32_5,32,5,6400,1431.7,588.8766666666667,2016-11-21  18:38:20,24.536527777777778
16_1,16,1,17639,818.22,678.2669444444444,2016-11-25  12:01:45,28.261122685185185
16_2,16,2,17549,702.98,678.11,2016-11-25  11:52:20,28.254583333333333
16_3,16,3,19263,756.34,678.2333333333333,2016-11-25  11:59:44,28.259722222222223
16_4,16,4,15543,793.89,678.1988888888889,2016-11-25  11:57:40,28.258287037037036
16_5,16,5,18947,771.76,678.2911111111111,2016-11-25  12:03:12,28.26212962962963
25_1,25,1,8212,630.37,678.6233333333333,2016-11-25  12:23:08,28.275972222222222
25_2,25,2,9353,753.11,678.65,2016-11-25  12:24:44,28.277083333333334
25_3,25,3,10813,1105.53,678.6836111111111,2016-11-25  12:26:45,28.278483796296296
25_4,25,4,13511,942.36,678.71,2016-11-25  12:28:20,28.279583333333335
25_5,25,5,15310,881.7,678.7402777777778,2016-11-25  12:30:09,28.28084490740741
32_1,32,1,1925,862.46,680.7941666666667,2016-11-25  14:33:23,28.366423611111113
32_2,32,2,1726,862.55,680.82,2016-11-25  14:34:56,28.367500000000003
32_3,32,3,3166,863.61,680.8708333333333,2016-11-25  14:37:59,28.369618055555552
32_4,32,4,3585,773.79,680.8941666666667,2016-11-25  14:39:23,28.37059027777778
32_5,32,5,2478,1062.03,680.9444444444445,2016-11-25  14:42:24,28.372685185185187
5_1,5,1,16694,1293.37,749.8294444444444,2016-11-28  11:35:30,31.242893518518517
5_2,5,2,14826,1312.97,749.8561111111111,2016-11-28  11:37:06,31.24400462962963
5_3,5,3,20005,1330.82,749.9758333333333,2016-11-28  11:44:17,31.248993055555555
5_4,5,4,19605,1276.45,749.95,2016-11-28  11:42:44,31.24791666666667
5_5,5,5,15799,1215.75,750.0038888888889,2016-11-28  11:45:58,31.25016203703704
8_1,8,1,18543,1129.96,750.0305555555556,2016-11-28  11:47:34,31.251273148148147
8_2,8,2,22637,1042.74,750.0575,2016-11-28  11:49:11,31.252395833333335
8_3,8,3,13277,1102.62,750.2102777777778,2016-11-28  11:58:21,31.258761574074075
8_4,8,4,19783,1153.05,750.2352777777778,2016-11-28  11:59:51,31.25980324074074
8_5,8,5,18764,1212.01,750.2602777777778,2016-11-28  12:01:21,31.260844907407407
16_1,16,1,18289,1131.68,750.2866666666666,2016-11-28  12:02:56,31.261944444444442
16_2,16,2,14029,1026.78,750.3122222222222,2016-11-28  12:04:28,31.26300925925926
16_3,16,3,18227,1177.45,750.3366666666667,2016-11-28  12:05:56,31.26402777777778
16_4,16,4,17338,1255.55,750.3611111111111,2016-11-28  12:07:24,31.265046296296294
16_5,16,5,17488,1243.7,750.3855555555556,2016-11-28  12:08:52,31.266064814814815
25_1,25,1,11020,1124.71,750.9377777777778,2016-11-28  12:42:00,31.289074074074076
25_2,25,2,9014,1001.82,750.9625,2016-11-28  12:43:29,31.290104166666666
25_3,25,3,13232,963.53,750.9877777777778,2016-11-28  12:45:00,31.291157407407407
25_4,25,4,13874,1028.59,751.0119444444445,2016-11-28  12:46:27,31.292164351851852
25_4,25,4,14714,987.03,751.0119444444445,2016-11-28  12:46:27,31.292164351851852
25_5,25,5,11816,897.99,751.0452777777778,2016-11-28  12:48:27,31.29355324074074
32_1,32,1,3932,1789.11,751.0694444444445,2016-11-28  12:49:54,31.294560185185187
32_2,32,2,2700,1613.57,751.0944444444444,2016-11-28  12:51:24,31.295601851851853
32_3,32,3,5178,1619.52,751.135,2016-11-28  12:53:50,31.297291666666666
32_4,32,4,3540,2232.35,751.1594444444445,2016-11-28  12:55:18,31.298310185185187
32_5,32,5,3275,1679.4,751.1894444444445,2016-11-28  12:57:06,31.299560185185186
32_5,32,5,3098,1751.11,751.1894444444445,2016-11-28  12:57:06,31.299560185185186
5_4,5,4,4138,1114.66,154.99138888888888,2016-11-03  16:45:13,6.457974537037036
8_1,8,1,4379,1017.91,175.94972222222222,2016-11-04  13:42:43,7.331238425925926
8_2,8,2,5218,1047.52,175.98777777777778,2016-11-04  13:45:00,7.332824074074074
8_3,8,3,3249,1044.98,176.025,2016-11-04  13:47:14,7.3343750000000005
8_4,8,4,1598,1068.66,176.05777777777777,2016-11-04  13:49:12,7.33574074074074
8_5,8,5,3396,1044.62,176.08833333333334,2016-11-04  13:51:02,7.337013888888889
16_1,16,1,11e3,811.43,176.30194444444444,2016-11-04  14:03:51,7.345914351851852
16_2,16,2,5735,825.28,176.33388888888888,2016-11-04  14:05:46,7.34724537037037
16_3,16,3,9700,861.94,176.35916666666665,2016-11-04  14:07:17,7.348298611111111
16_4,16,4,9307,830.3,176.38444444444445,2016-11-04  14:08:48,7.349351851851853
16_5,16,5,9935,810.38,176.41194444444446,2016-11-04  14:10:27,7.350497685185186
25_1,25,1,8585,762.73,177.26888888888888,2016-11-04  15:01:52,7.386203703703703
25_2,25,2,6109,622.56,177.3225,2016-11-04  15:05:05,7.388437499999999
25_3,25,3,7549,714.48,177.3636111111111,2016-11-04  15:07:33,7.390150462962963
25_4,25,4,7580,723.88,177.4011111111111,2016-11-04  15:09:48,7.391712962962963
25_5,25,5,10210,736.86,177.44333333333333,2016-11-04  15:12:20,7.393472222222222
32_1,32,1,1091,1850.1,177.51111111111112,2016-11-04  15:16:24,7.396296296296296
5_1,5,1,1256,1320.65,246.56027777777777,2016-11-07  12:19:21,10.273344907407408
5_3,5,3,1006,1872.91,246.65666666666667,2016-11-07  12:25:08,10.27736111111111
5_4,5,4,1601,3260.26,246.70638888888888,2016-11-07  12:28:07,10.27943287037037
5_5,5,5,4438,1796.35,246.73638888888888,2016-11-07  12:29:55,10.28068287037037
8_1,8,1,6290,1082.58,247.49138888888888,2016-11-07  13:15:13,10.312141203703703
8_2,8,2,8722,959.77,247.45888888888888,2016-11-07  13:13:16,10.310787037037036
8_3,8,3,6164,1041.05,247.41805555555555,2016-11-07  13:10:49,10.309085648148148
8_4,8,4,6225,1036.46,247.37194444444444,2016-11-07  13:08:03,10.307164351851851
8_5,8,5,10520,1029.06,247.31166666666667,2016-11-07  13:04:26,10.304652777777777
