unique_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
25_5,K,11765.17534819521,549.6766574714096,21.40381111018372,1.0966025485479131e-16,10628.082547447273,12902.268148943145
25_5,r,0.2605773945559236,0.04072144733889184,6.399020948036243,1.5731011302339777e-6,0.17633866261104647,0.34481612650080073
32_1,K,5e4,9045115.741256824,0.005527845240491359,0.9956470684530245,-18881644.82135777,18981644.82135777
32_1,r,0.010717224073997543,0.10461596151634413,0.10244348872445429,0.9194781469273918,-0.20824649985476468,0.2296809480027598
32_2,K,3461.5377580488703,372.63175435721354,9.289433113450013,4.2021307156479013e-7,2656.515795532804,4266.5597205649365
32_2,r,0.4591132970622308,3.592929840907472,0.12778242754283,0.9002766802980058,-7.302939716104117,8.221166310228579
32_3,K,4925.093995268758,1823.0691228481205,2.701539910661449,0.016408039281211165,1039.3141418500732,8810.873848687443
32_3,r,0.07349432066388495,0.0656877952625594,1.1188428591661852,0.28080497261831394,-0.06651590069732083,0.21350454202509073
32_4,K,7637.79597917246,7519.946993363089,1.0156715181521068,0.32588941502778224,-8390.591622464894,23666.183580809815
32_4,r,0.030269350671483383,0.02087853972953267,1.4497829380599556,0.1677051693342319,-0.014232203346980742,0.07477090468994751
32_5,K,4516.733065563661,3538.4545768824255,1.2764705515997192,0.21717150981306788,-2889.3374792824306,11922.803610409752
32_5,r,0.04425359174899177,0.07064898536055918,0.6263867983827689,0.5385148429607872,-0.10361643403019907,0.1921236175281826
5_1,K,23146.628448387644,2773.6190004232008,8.345280460241986,8.897184597191319e-8,17341.377162737954,28951.879734037335
5_1,r,0.09383357908455968,0.009512591398856022,9.864144810828734,6.557391375762474e-9,0.07392349646699645,0.11374366170212291
5_2,K,24398.059554919877,2785.012222608455,8.760485629778868,8.162897775848166e-7,18381.406441330797,30414.712668508957
5_2,r,0.09333616513290179,0.00858007902526095,10.878240731595488,6.718321057484613e-8,0.07480003133675421,0.11187229892904936
5_3,K,27527.205431556944,4764.416792063729,5.777665270051533,3.6472592569394485e-5,17372.09142525535,37682.31943785854
5_3,r,0.08746027323380809,0.009636060235609329,9.076351859093334,1.7603298747188113e-7,0.06692149702363197,0.10799904944398421
5_4,K,27971.049929584216,3694.0191768080504,7.571982870363333,7.65312696876407e-7,20177.35072553959,35764.749133628844
5_4,r,0.10068800372040995,0.01095902081480042,9.187682496635867,5.2805160723968126e-8,0.07756649088754447,0.12380951655327543
5_5,K,23054.37851073984,2295.6316621711803,10.042716734850787,1.454451510385456e-8,18211.01906892369,27897.737952555988
5_5,r,0.09581336204696658,0.008417667748369375,11.38241195912336,2.248290472660833e-9,0.07805363550243177,0.11357308859150139
8_1,K,20328.85746576491,525.5000838732316,38.68478443605524,1.5565837060258728e-19,19228.973149624653,21428.74178190517
8_1,r,0.15286170526489878,0.0073299447270359155,20.854414454324683,1.4866710529964184e-14,0.13751995463372926,0.1682034558960683
8_2,K,22871.14693483471,941.1386745714718,24.301569527199185,8.985140485851075e-16,20901.321050422666,24840.972819246752
8_2,r,0.20101770994981785,0.016926048809783302,11.876233621258912,3.086085363614361e-10,0.16559108264485228,0.23644433725478342
8_3,K,21430.845079616982,1453.769933018288,14.741565768334947,4.0780296168219194e-11,18363.6586283493,24498.031530884662
8_3,r,0.12878770851004911,0.01315744191034968,9.788202705933617,2.1170118493318214e-8,0.10102793260315641,0.15654748441694183
8_4,K,20068.825020298427,1094.8545451790437,18.330128973448737,1.2379360426602061e-12,17758.88384541807,22378.766195178785
8_4,r,0.1468642712580176,0.014457912205004595,10.158055269361828,1.2297260911515247e-8,0.11636074286495247,0.17736779965108274
8_5,K,20258.672147802466,628.0041495420165,32.25881893069731,4.672959406639316e-18,18944.244356542793,21573.09993906214
8_5,r,0.16771619775353103,0.01029593106682627,16.289561057174957,1.279249690018101e-12,0.14616656636813385,0.1892658291389282
