temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
8,TT,5,142,72.69,72.69,0.87,121.84,115.02,119.42,0.5526,1,1,895,218,0,0,0,0,0,0,0,0.79,0.65,0.96,1.55,39.36,0.98,2016-11-14,9.62,10.82,112.08,2.46,55,-65,0.46,0.69,0,0.41,16.84,6.84,08TT5_size_images_000001.tif,33,34,1273,98,115.15,11.56,1,47.35,1.06,0.98,1.04,1.18,0,0,0,46.97,969,43410,0.72,17:50:14,2016-11-15T00:50:14Z,0.11,466.1919,664.0207,9.98
8,TT,5,143,91.1,91.1,0.7,121.2,112.87,115.77,0.5526,1,1,225,489,0,0,0,0,0,0,0,0.67,0.49,0.88,2.04,46.47,0.9,2016-11-14,10.77,13.09,111.88,4.16,60,-55,0.46,0.68,0,0.24,23.97,5.76,08TT5_size_images_000001.tif,40,35,1309,98,114.34,16.37,1,59.46,1.07,0.96,1.03,1.26,0,0,0,45.18,1233,51681,0.71,17:50:36,2016-11-15T00:50:36Z,0.18,654.1009,1173.702,10.11
8,TT,5,144,86.15,86.15,0.63,112.52,101.55,97.41,0.5526,1,1,142,489,0,0,0,0,0,0,0,0.67,0.78,0.88,1.28,41.95,1,2016-11-14,10.47,11.65,111.84,1.15,15,-65,0,1.15,0,0.87,12.33,10.69,08TT5_size_images_000001.tif,32,39,1346,98,98.36,14.16,1,46.06,1.11,0.87,0.96,1.09,0,0,0,28.56,1089,42493,0.81,17:50:24,2016-11-15T00:50:24Z,0.1,601.5333,827.5135,8.72
8,TT,5,145,63.77,63.77,0.89,105.17,94.25,92.33,0.5526,1,1,231,835,0,0,0,0,0,0,0,0.84,0.78,0.99,1.28,35.69,1,2016-11-14,9.01,9.66,111.83,1.15,75,25,0.08,0.93,0,0.87,10.93,9.5,08TT5_size_images_000001.tif,32,32,1387,98,93.83,10.13,1,40.86,1.12,0.88,0.98,1.13,0,0,0,29.54,643,31903,0.74,17:49:47,2016-11-15T00:49:47Z,0.07,383.086,471.7198,9.02
8,TT,5,146,77.31,77.31,0.82,119.97,110.85,105.93,0.5526,1,1,540,172,0,0,0,0,0,0,0,0.7,0.62,0.95,1.61,41.89,0.93,2016-11-14,9.92,11.63,111.59,2.7,75,30,0.41,0.71,0,0.37,18.06,6.7,08TT5_size_images_000001.tif,37,35,1421,98,106.77,12.8,1,49.51,1.08,0.88,0.96,1.17,0,0,0,34.29,529,42279,0.6,17:49:37,2016-11-15T00:49:37Z,0.15,511.3855,823.6565,10.75
8,TT,5,147,90.6,90.6,0.7,126.75,117.13,117.49,0.5526,1,1,1020,433,0,0,0,0,0,0,0,0.69,0.59,0.91,1.68,43.96,0.94,2016-11-14,10.74,12.29,111.03,2.95,-85,0,0.42,0.7,0,0.34,20.14,6.82,08TT5_size_images_000001.tif,40,32,1458,98,118.12,14.17,1,53.93,1.08,0.93,1,1.21,0,0,0,42.68,683,53154,0.5,17:49:50,2016-11-15T00:49:50Z,0.13,648.7658,971.6692,9.67
8,TT,5,148,139.96,139.96,0.81,127.5,125.79,130.22,0.5526,1,1,667,753,0,0,0,0,0,0,0,0.73,0.64,0.94,1.57,53.57,0.96,2016-11-14,13.35,15.35,110.84,2.52,-85,-25,0.2,0.83,0,0.4,22.29,8.83,08TT5_size_images_000001.tif,48,39,1492,98,127.18,18.58,1,62.26,1.01,1.02,1.04,1.15,0,0,0,44.46,712,82033,0.73,17:49:52,2016-11-15T00:49:52Z,0.13,1245.59,1891.94,12.49
8,TT,5,149,111.13,111.13,0.76,112.37,105.05,105.96,0.5526,1,1,107,181,0,0,0,0,0,0,0,0.63,0.59,0.91,1.69,48.04,0.93,2016-11-14,11.9,13.59,110.68,2.96,70,0,0.39,0.72,0,0.34,21.93,7.41,08TT5_size_images_000001.tif,41,36,1533,98,105.99,15.72,1,58.67,1.07,0.94,1.01,1.21,0,0,0,43.93,468,56386,0.47,17:49:32,2016-11-15T00:49:32Z,0.12,881.3203,1313.348,11.88
8,TT,5,150,63.53,63.53,0.64,135.53,130.57,136.15,0.5526,1,1,779,512,0,0,0,0,0,0,0,0.6,0.53,0.83,1.89,40.79,0.88,2016-11-14,8.99,11.28,110.32,3.66,30,-80,0.4,0.71,0,0.27,19.46,5.32,08TT5_size_images_000001.tif,31,36,1571,98,130.75,13.9,1,49.56,1.04,1,1.04,1.2,0,0,0,44.41,1141,44324,0.47,17:50:28,2016-11-15T00:50:28Z,0.2,380.9319,751.3075,8.95
8,TT,5,151,90.85,90.85,0.62,128.87,112.18,104.57,0.5526,1,1,712,672,0,0,0,0,0,0,0,0.66,0.87,0.89,1.15,42.34,1,2016-11-14,10.76,11.77,110.18,1,-10,85,0,1.24,0,1,11.17,11.17,08TT5_size_images_000001.tif,29,39,1609,98,110.95,13.88,1,44.69,1.15,0.81,0.93,1.05,0,0,0,28.64,782,50040,0.87,17:49:58,2016-11-15T00:49:58Z,0.09,651.4312,854.3085,7.67
8,TT,5,152,83.44,83.44,0.87,134.43,130.3,138.3,0.5526,1,1,1199,362,0,0,0,0,0,0,0,0.71,0.66,0.92,1.51,41.99,0.98,2016-11-14,10.31,11.66,110.11,2.31,50,-60,0.33,0.75,0,0.43,17.22,7.46,08TT5_size_images_000001.tif,34,35,1650,98,132.82,12.99,1,49.37,1.03,1.03,1.06,1.16,0,0,0,47.9,605,55916,0.43,17:49:43,2016-11-15T00:49:43Z,0.12,573.371,830.4732,10.6
8,TT,5,153,85.9,85.9,0.6,106,104.33,117.1,0.5526,1,1,16,911,0,0,0,0,0,0,0,0.54,0.52,0.83,1.94,44.32,0.91,2016-11-14,10.46,12.4,110.11,3.82,80,15,0.5,0.67,0,0.26,22.43,5.87,08TT5_size_images_000001.tif,41,34,1687,98,107.75,14.97,1,56.6,1.02,1.1,1.12,1.26,0,0,0,29.02,1246,46439,0.48,17:50:37,2016-11-15T00:50:37Z,0.16,598.951,999.2302,10.03
8,TT,5,154,69.3,69.3,0.5,107.49,104.67,113.04,0.5526,1,1,324,619,0,0,0,0,0,0,0,0.54,0.65,0.76,1.54,41.19,0.97,2016-11-14,9.39,11.41,109.73,2.44,40,-35,0.16,0.86,0,0.41,16.46,6.74,08TT5_size_images_000001.tif,37,34,1723,98,107.03,14.13,1,46.38,1.03,1.05,1.08,1.11,0,0,0,27.77,1002,38851,0.65,17:50:16,2016-11-15T00:50:16Z,0.18,433.9742,777.3093,7.07
