temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
25,TT,3,50,80.49,84.18,0.8,115.79,101.71,98.44,0.5526,1,1,138,585,0,0,0,0,0,0,0,0.75,0.77,0.94,1.3,41.22,1,2016-10-31,10.12,11.42,98.38,1.36,80,0,0.01,0.99,0,0.73,13.28,9.75,25TT3_size_images_000001.tif,38,31,1856,2,102.12,13.14,1,46.06,1.14,0.85,0.97,1.28,0,0,0,43.97,583,41768,0.6,16:28:30,2016-10-31T23:28:30Z,0.11,543.2649,779.1634,9.12
25,TT,3,51,85.66,85.66,0.61,136.14,129.34,134.57,0.5526,1,1,791,907,0,0,0,0,0,0,0,0.63,0.69,0.86,1.45,42.91,0.99,2016-10-31,10.44,11.95,97.78,2.07,-10,90,0.11,0.9,0,0.48,16.5,7.96,25TT3_size_images_000001.tif,30,41,1889,2,131.67,14.87,1,48.92,1.05,0.99,1.04,1.13,0,0,0,46.27,230,56618,0.69,16:28:01,2016-10-31T23:28:01Z,0.13,596.373,894.552,8.57
25,TT,3,52,108.11,111.89,0.89,140.54,135,135.95,0.5526,1,1,584,887,0,0,0,0,0,0,0,0.8,0.73,0.96,1.37,46.75,0.98,2016-10-31,11.73,13.18,97,1.72,-50,65,0.18,0.85,0,0.58,16.76,9.75,25TT3_size_images_000001.tif,37,38,1932,2,135.91,14.2,1,53.01,1.04,0.97,1.01,1.27,0,0,0,44.68,69,70671,0.7,16:27:48,2016-10-31T23:27:48Z,0.11,845.5569,1197.591,12.09
25,TT,3,53,59.95,59.95,0.87,127.2,111.58,111.17,0.5526,1,1,1076,824,0,0,0,0,0,0,0,0.68,0.54,0.93,1.85,39.33,0.9,2016-10-31,8.74,10.82,96.45,3.52,-70,-20,0.59,0.63,0,0.28,18.67,5.3,25TT3_size_images_000001.tif,34,33,1972,2,109.38,11.71,1,47.95,1.14,0.87,1,1.2,0,0,0,35.58,464,35440,0.54,16:28:20,2016-10-31T23:28:20Z,0.19,349.2166,662.6994,9.44
25,TT,3,54,68.33,68.33,0.86,136.76,130.55,133.01,0.5526,1,1,1040,73,0,0,0,0,0,0,0,0.74,0.52,0.92,1.92,40.13,0.91,2016-10-31,9.33,11.07,96.35,3.76,85,-30,0.63,0.61,0,0.27,20.3,5.4,25TT3_size_images_000001.tif,37,33,2007,2,131.98,12.48,1,51.4,1.05,0.97,1.02,1.26,0,0,0,51.52,316,47380,0.65,16:28:08,2016-10-31T23:28:08Z,0.16,424.9404,710.1853,9.92
25,TT,4,1,57.58,57.58,0.71,100.92,96.25,102.4,0.5526,1,1,306,57,0,0,0,0,0,0,0,0.76,0.88,0.93,1.14,34.54,1,2016-10-31,8.56,9.29,164.62,1,70,0,0,1.19,0,1,9.27,9.27,25TT4_size_images_000001.tif,34,27,2,2,98.3,11,1,37.08,1.05,1.01,1.06,1.06,0,0,0,29.33,480,30867,0.83,16:25:43,2016-10-31T23:25:43Z,0.08,328.7003,420.0702,6.91
25,TT,4,2,54.28,54.28,0.57,112.35,111.71,118.6,0.5526,1,1,709,903,0,0,0,0,0,0,0,0.62,0.64,0.83,1.56,36.5,0.97,2016-10-31,8.31,9.92,159.5,2.51,-65,35,0.22,0.82,0,0.4,15.17,6.04,25TT4_size_images_000001.tif,35,31,31,2,113.84,12.42,1,42.42,1.01,1.06,1.06,1.14,0,0,0,37.52,498,34151,0.65,16:25:45,2016-10-31T23:25:45Z,0.16,300.8361,510.6202,6.26
25,TT,4,3,80.98,80.98,0.55,98.93,106.11,113.88,0.5526,1,1,391,432,0,0,0,0,0,0,0,0.6,0.77,0.83,1.3,41.45,1,2016-10-31,10.15,11.49,157.44,1.33,15,-75,0,1.12,0,0.75,12.94,9.7,25TT4_size_images_000001.tif,30,40,64,2,106.72,14.55,1,45.28,0.93,1.15,1.07,1.08,0,0,0,28.24,484,43860,0.74,16:25:44,2016-10-31T23:25:44Z,0.12,548.2376,794.3654,7.75
25,TT,4,4,51.47,51.47,0.7,100.85,95.47,104.94,0.5526,1,1,1167,509,0,0,0,0,0,0,0,0.69,0.63,0.92,1.58,34.65,0.98,2016-10-31,8.1,9.33,155.09,2.59,55,-40,0.36,0.74,0,0.39,15.08,5.83,25TT4_size_images_000001.tif,31,32,106,2,98.92,11.1,1,41.83,1.06,1.04,1.1,1.19,0,0,0,45.2,607,28488,0.58,16:25:54,2016-10-31T23:25:54Z,0.13,277.7638,424.9907,7.34
25,TT,4,5,71.72,71.72,0.56,125.97,119.02,120.68,0.5526,1,1,405,548,0,0,0,0,0,0,0,0.52,0.54,0.75,1.87,43.17,0.88,2016-10-31,9.56,12.04,144.51,3.59,65,-15,0.34,0.75,0,0.28,20.23,5.63,25TT4_size_images_000001.tif,40,33,140,2,119.66,15.13,1,51.72,1.06,0.96,1.01,1.18,0,0,0,44.2,613,44632,0.49,16:25:54,2016-10-31T23:25:54Z,0.21,456.8922,913.1256,9.1
25,TT,4,6,56.87,56.87,0.75,97.47,84.59,85.8,0.5526,1,1,383,903,0,0,0,0,0,0,0,0.78,0.73,0.94,1.37,35.34,0.99,2016-10-31,8.51,9.55,143.45,1.71,-15,60,0.21,0.83,0,0.58,12.75,7.45,25TT4_size_images_000001.tif,31,33,175,2,86.05,10.52,1,40.4,1.15,0.88,1.01,1.13,0,0,0,32.11,469,26762,0.65,16:25:42,2016-10-31T23:25:42Z,0.11,322.6446,455.6789,8.28
