ID,time,P,type
16_5,12.0,14498710.138052383,simulated
16_5,13.0,14943814.271308644,simulated
16_5,14.0,15264103.879972817,simulated
16_5,15.0,15491038.73739479,simulated
16_5,16.0,15650071.089581743,simulated
16_5,17.0,15760661.797753159,simulated
16_5,18.0,15837154.275134267,simulated
16_5,19.0,15889865.577369912,simulated
16_5,20.0,15926096.150305381,simulated
16_5,21.0,15950955.010435088,simulated
16_5,22.0,15967990.751272589,simulated
16_5,23.0,15979655.651991725,simulated
16_5,24.0,15987638.436142305,simulated
16_5,25.0,15993099.267560445,simulated
16_5,26.0,15996833.898102561,simulated
16_5,27.0,15999387.527545517,simulated
16_5,28.0,16001133.403755395,simulated
16_5,29.0,16002326.931133067,simulated
16_5,30.0,16003142.810347904,simulated
16_5,31.0,16003700.513492675,simulated
16_5,32.0,16004081.725439547,simulated
16_5,33.0,16004342.294739783,simulated
16_5,34.0,16004520.398824034,simulated
16_5,35.0,16004642.135402683,simulated
16_5,36.0,16004725.3435597,simulated
16_5,37.0,16004782.216883123,simulated
16_5,38.0,16004821.090134745,simulated
16_5,39.0,16004847.658640362,simulated
16_5,40.0,16004865.819575988,simulated
16_5,41.0,16004878.232699173,simulated
16_5,42.0,16004886.716879271,simulated
16_5,43.0,16004892.51595825,simulated
25_1,0.5,1455964.4,observed
25_1,0.540196759,486870.03,observed
25_1,3.449340278,6301390.45,observed
25_1,7.386203704,7268420.32,observed
25_1,10.32697917,4755104.18,observed
25_1,12.48533565,4281171.12,observed
25_1,17.49520833,6424587.0,observed
25_1,21.35138889,12168290.0,observed
25_1,24.47061343,14930498.1,observed
25_1,28.23430556,5508784.32,observed
25_1,34.5103588,12403732.11,observed
25_1,39.55642361,7246455.84,observed
25_1,42.22634259,8330880.36,observed
25_1,42.22634259,8330880.36,observed
25_1,0.0,1455964.4,simulated
25_1,1.0,1746265.9588819356,simulated
25_1,2.0,2079476.4568650704,simulated
25_1,3.0,2456113.236824338,simulated
25_1,4.0,2874521.5860463744,simulated
25_1,5.0,3330479.51556444,simulated
25_1,6.0,3817059.4107613363,simulated
25_1,7.0,4324849.797244173,simulated
25_1,8.0,4842573.200565222,simulated
25_1,9.0,5358037.469127786,simulated
25_1,10.0,5859260.774082633,simulated
25_1,11.0,6335556.082797705,simulated
25_1,12.0,6778373.855481226,simulated
25_1,13.0,7181776.006005503,simulated
25_1,14.0,7542516.595298882,simulated
25_1,15.0,7859794.933933282,simulated
25_1,16.0,8134797.631653013,simulated
25_1,17.0,8370153.601247825,simulated
25_1,18.0,8569402.092336448,simulated
25_1,19.0,8736536.929644557,simulated
25_1,20.0,8875654.799168158,simulated
25_1,21.0,8990709.29623283,simulated
25_1,22.0,9085357.255513426,simulated
25_1,23.0,9162877.516044492,simulated
25_1,24.0,9226141.916040694,simulated
25_1,25.0,9277620.925811583,simulated
25_1,26.0,9319410.17113889,simulated
25_1,27.0,9353267.861383265,simulated
25_1,28.0,9380656.357107108,simulated
25_1,29.0,9402783.59979456,simulated
25_1,30.0,9420641.920732373,simulated
25_1,31.0,9435042.969320673,simulated
25_1,32.0,9446648.296838954,simulated
25_1,33.0,9455995.610922534,simulated
25_1,34.0,9463520.981914239,simulated
25_1,35.0,9469577.420320958,simulated
25_1,36.0,9474450.288004277,simulated
25_1,37.0,9478369.996083701,simulated
25_1,38.0,9481522.414317876,simulated
25_1,39.0,9484057.369982468,simulated
25_1,40.0,9486095.565605901,simulated
25_1,41.0,9487734.193125505,simulated
25_1,42.0,9489051.483792193,simulated
25_1,43.0,9490110.38739094,simulated
25_2,0.5,1455964.4,observed
25_2,3.447511574,4425820.79,observed
25_2,7.3884375,4208789.64,observed
25_2,10.31900463,5001991.74,observed
25_2,12.48649306,3749635.26,observed
25_2,17.49712963,3305305.56,observed
25_2,21.3537963,9676703.16,observed
25_2,24.47203704,9942405.66,observed
25_2,28.23541667,7488462.3,observed
25_2,34.51135417,17759362.5,observed
25_2,39.5574537,6822876.0,observed
25_2,42.22428241,10226687.64,observed
25_2,42.22428241,10226687.64,observed
25_2,0.0,1455964.4,simulated
25_2,1.0,1631375.59810497,simulated
25_2,2.0,1823971.1008486347,simulated
25_2,3.0,2034478.2589981533,simulated
25_2,4.0,2263426.2860002443,simulated
25_2,5.0,2511093.405710016,simulated
25_2,6.0,2777454.3615903547,simulated
25_2,7.0,3062131.9138459843,simulated
25_2,8.0,3364356.6106641726,simulated
25_2,9.0,3682939.3610885344,simulated
25_2,10.0,4016261.2405219744,simulated
25_2,11.0,4362284.136500621,simulated
25_2,12.0,4718584.489039341,simulated
25_2,13.0,5082410.438334125,simulated
25_2,14.0,5450760.430383835,simulated
25_2,15.0,5820479.025363893,simulated
25_2,16.0,6188363.6717926,simulated
25_2,17.0,6551274.8893225035,simulated
25_2,18.0,6906241.89321588,simulated
25_2,19.0,7250556.24529293,simulated
25_2,20.0,7581847.538536557,simulated
25_2,21.0,7898137.20462483,simulated
25_2,22.0,8197868.818894219,simulated
25_2,23.0,8479915.528774848,simulated
25_2,24.0,8743567.092920944,simulated
25_2,25.0,8988500.314904599,simulated
25_2,26.0,9214737.318744227,simulated
25_2,27.0,9422596.21282692,simulated
25_2,28.0,9612638.340547912,simulated
25_2,29.0,9785615.63103182,simulated
25_2,30.0,9942420.758716598,simulated
25_2,31.0,10084041.998072173,simulated
25_2,32.0,10211523.8746066,simulated
25_2,33.0,10325934.086380633,simulated
25_2,34.0,10428336.67019722,simulated
25_2,35.0,10519771.043515569,simulated
25_2,36.0,10601236.332626125,simulated
25_2,37.0,10673680.28596501,simulated
25_2,38.0,10737992.037819125,simulated
25_2,39.0,10794998.009512808,simulated
25_2,40.0,10845460.292967279,simulated
25_2,41.0,10890076.938447118,simulated
25_2,42.0,10929483.650845429,simulated
25_2,43.0,10964256.483917853,simulated
25_3,0.5,1455964.4,observed
25_3,3.445740741,5136581.35,observed
25_3,7.390150463,5488819.2,observed
25_3,10.31673611,6234237.3,observed
25_3,12.48765046,5939178.0,observed
25_3,17.49885417,6123791.52,observed
25_3,21.35583333,7790355.19,observed
25_3,24.47363426,9990788.62,observed
25_3,28.23681713,13357207.77,observed
25_3,34.51237269,14809246.01,observed
25_3,42.22532407,7227729.6,observed
25_3,42.22532407,7227729.6,observed
25_3,0.0,1455964.4,simulated
25_3,1.0,1708615.005377217,simulated
25_3,2.0,1995079.4604223154,simulated
25_3,3.0,2316436.554912681,simulated
25_3,4.0,2672650.3959567947,simulated
25_3,5.0,3062304.962550771,simulated
25_3,6.0,3482410.6380826505,simulated
25_3,7.0,3928333.1219966165,simulated
25_3,8.0,4393886.129291296,simulated
25_3,9.0,4871606.764604191,simulated
25_3,10.0,5353199.080170579,simulated
25_3,11.0,5830095.360315102,simulated
25_3,12.0,6294057.116080504,simulated
25_3,13.0,6737728.018701179,simulated
25_3,14.0,7155062.888695068,simulated
25_3,15.0,7541585.424131656,simulated
25_3,16.0,7894463.706293255,simulated
25_3,17.0,8212425.29777819,simulated
25_3,18.0,8495554.530304193,simulated
25_3,19.0,8745022.715906488,simulated
25_3,20.0,8962797.69282271,simulated
25_3,21.0,9151368.30682397,simulated
25_3,22.0,9313506.21986145,simulated
25_3,23.0,9452075.40543594,simulated
25_3,24.0,9569890.618860116,simulated
25_3,25.0,9669620.332751676,simulated
25_3,26.0,9753726.735085273,simulated
25_3,27.0,9824434.702309428,simulated
25_3,28.0,9883721.65590363,simulated
25_3,29.0,9933322.265228104,simulated
25_3,30.0,9974742.176511385,simulated
25_3,31.0,10009277.084753057,simulated
25_3,32.0,10038034.260972833,simulated
25_3,33.0,10061954.572423799,simulated
25_3,34.0,10081833.760288188,simulated
25_3,35.0,10098342.249668483,simulated
25_3,36.0,10112043.104727153,simulated
25_3,37.0,10123407.996655922,simulated
25_3,38.0,10132831.191899389,simulated
25_3,39.0,10140641.674145652,simulated
25_3,40.0,10147113.555026673,simulated
25_3,41.0,10152474.951782878,simulated
25_3,42.0,10156915.516486317,simulated
25_3,43.0,10160592.792714603,simulated
